"Add to Cart","कार्टमा थप्नुहोस्"
"Add to Compare","तुलनामा थप्नुहोस्"
"Add to Wish List","इच्छा सूचीमा थप्नुहोस्"
"Address","ठेगाना"
"All","सबै"
"Apply Discount","छुट लागू गर्नुहोस्"
"Apply","लागू गर्नुहोस्"
"Back","फर्कनुहोस्"
"Billing Address","बिलिङ ठेगाना"
"Cancel","रद्द गर्नुहोस्"
"Cart","कार्ट"
"Checkout","चेकआउट"
"Compare","तुलना गर्नुहोस्"
"Confirm","निश्चित गर्नुहोस्"
"Contact Us","हामीलाई सम्पर्क गर्नुहोस्"
"Continue Shopping","किनमेल जारी राख्नुहोस्"
"Continue","जारी राख्नुहोस्"
"Country","देश"
"Coupon Code","कुपन कोड"
"Create an Account","खाता सिर्जना गर्नुहोस्"
"Customer Service","ग्राहक सेवा"
"Default","पूर्वनिर्धारित"
"Delete","हटाउनुहोस्"
"Description","विवरण"
"Details","विवरणहरू"
"Discount","छुट"
"Edit","सम्पादन गर्नुहोस्"
"Email","इमेल"
"First Name","पहिलो नाम"
"Forgot Your Password?","पासवर्ड बिर्सनुभयो?"
"Grand Total","कुल जम्मा"
"Home","गृहपृष्ठ"
"Last Name","थर"
"Login","लगइन गर्नुहोस्"
"Logout","लगआउट गर्नुहोस्"
"My Account","मेरो खाता"
"My Orders","मेरो अर्डरहरू"
"My Wish List","मेरो इच्छा सूची"
"Name","नाम"
"New Customer?","नयाँ ग्राहक?"
"Next","अर्को"
"No","होइन"
"Order","अर्डर"
"Order #","अर्डर नम्बर"
"Password","पासवर्ड"
"Payment Method","भुक्तानी विधि"
"Phone","फोन"
"Place Order","अर्डर गर्नुहोस्"
"Please wait...","कृपया प्रतीक्षा गर्नुहोस्..."
"Price","मूल्य"
"Product","उत्पादन"
"Qty","परिमाण"
"Quantity","परिमाण"
"Register","दर्ता गर्नुहोस्"
"Remove","हटाउनुहोस्"
"Review & Payments","समीक्षा र भुक्तानी"
"Review","समीक्षा"
"Search","खोज्नुहोस्"
"Select","चयन गर्नुहोस्"
"Shipping","ढुवानी"
"Shipping Address","ढुवानी ठेगाना"
"Shipping Method","ढुवानी विधि"
"Sign In","साइन इन गर्नुहोस्"
"Sign Out","साइन आउट गर्नुहोस्"
"SKU","SKU"
"Sort By","यस अनुसार क्रमबद्ध गर्नुहोस्"
"State/Province","प्रदेश"
"Status","स्थिति"
"Submit","बुझाउनुहोस्"
"Subtotal","सबटोटल"
"Tax","कर"
"Thank you for your purchase!","किनमेलको लागि धन्यवाद!"
"Total","जम्मा"
"Update","अपडेट गर्नुहोस्"
"View Cart","कार्ट हेर्नुहोस्"
"View Order","अर्डर हेर्नुहोस्"
"Welcome","स्वागत छ"
"Yes","हो"
"You added %1 to your shopping cart.","तपाईंले %1 आफ्नो कार्टमा थप्नुभयो।"
"You have no items in your shopping cart.","तपाईंको कार्टमा कुनै वस्तु छैन।"
"Your shopping cart is empty.","तपाईंको कार्ट खाली छ।"
"Zip/Postal Code","जिप/हुलाक कोड"
"Account Information","खाता जानकारी"
"Additional Information","थप जानकारी"
"Address Book","ठेगाना पुस्तक"
"Newsletter","न्यूजलेटर"
"Order History","अर्डर इतिहास"
"Recent Orders","हालका अर्डरहरू"
"Account Dashboard","खाता ड्यासबोर्ड"
"Default Billing Address","पूर्वनिर्धारित बिलिङ ठेगाना"
"Default Shipping Address","पूर्वनिर्धारित ढुवानी ठेगाना"
"Store Credit","स्टोर क्रेडिट"
"Gift Card","गिफ्ट कार्ड"
"Order Total","अर्डर जम्मा"
"Order Date","अर्डर मिति"
"Order Status","अर्डर स्थिति"
"Ship To","यसलाई पठाउनुहोस्"
"Order #%1","अर्डर #%1"
"Pending","पेन्डिङ"
"Processing","प्रक्रियामा"
"Complete","सम्पन्न"
"Closed","बन्द"
"Canceled","रद्द गरियो"
"Held","रोकिएको"
"Return","फिर्ता गर्नुहोस्"
"Refund","रिफन्ड गर्नुहोस्"
"Exchange","विनिमय गर्नुहोस्"
"Print Order","अर्डर प्रिन्ट गर्नुहोस्"
"Reorder","पुन: अर्डर गर्नुहोस्"
"View Order","अर्डर हेर्नुहोस्"
"Track Order","अर्डर ट्र्याक गर्नुहोस्"
"Return Items","वस्तुहरू फिर्ता गर्नुहोस्"
"Write a Review","समीक्षा लेख्नुहोस्"
"Add Your Review","आफ्नो समीक्षा थप्नुहोस्"
"Submit Review","समीक्षा बुझाउनुहोस्"
"Your Rating","तपाईंको रेटिङ"
"Your Review","तपाईंको समीक्षा"
"Nickname","उपनाम"
"Summary","सारांश"
"Review","समीक्षा"
"Submit","बुझाउनुहोस्"
"Please select your rating.","कृपया तपाईंको रेटिङ चयन गर्नुहोस्।"
"Thank you for your review!","तपाईंको समीक्षाको लागि धन्यवाद!"
"Your review has been accepted for moderation.","तपाईंको समीक्षा समीक्षा प्रक्रियामा पठाइएको छ।"
"Enter your email address","आफ्नो इमेल ठेगाना प्रविष्ट गर्नुहोस्"
"Subscribe","सब्सक्राइब गर्नुहोस्"
"Shopping Options","किनमेल विकल्पहरू"
"per page","प्रति पृष्ठ"
"Show","देखाउनुहोस्"
"Search entire store here...","पूरा स्टोर यहाँ खोज्नुहोस्..."
"%1 items","%1 वस्तुहरू"
"Privacy and Cookie Policy","गोपनीयता र कुकी नीति"
"Search Terms","खोज शब्दहरू"
"Advanced Search","उन्नत खोज"
"Orders and Returns","अर्डर र फिर्ता"
"My Affiliate","मेरो सहायक"
"Blog","ब्लग"
"Shopping Cart","किनमेल कार्ट"
"Update Shopping Cart","किनमेल कार्ट अपडेट गर्नुहोस्"
"Apply Discount Code","छुट कोड लागू गर्नुहोस्"
"Item","वस्तु"
"Enter discount code","छुट कोड प्रविष्ट गर्नुहोस्"
"Edit item parameters","वस्तु प्यारामिटरहरू सम्पादन गर्नुहोस्"
"Edit","सम्पादन गर्नुहोस्"
"Remove item","वस्तु हटाउनुहोस्"
"Click <a href=""%1"">here</a> to continue shopping.","किनमेल जारी राख्न <a href=""%1"">यहाँ</a> क्लिक गर्नुहोस्।"
"Estimate Tax","करको अनुमान गर्नुहोस्"
"Estimate Shipping and Tax","ढुवानी र करको अनुमान गर्नुहोस्"
"Excl. Tax","कर बाहेक"
"You added %1 to your <a href=""%2"">shopping cart</a>.","तपाईंले %1 आफ्नो <a href=""%2"">किनमेल कार्टमा</a> थप्नुभयो।"
"Loading...","लोड हुँदैछ..."
"Proceed to Checkout","चेकआउटमा जानुहोस्"
"Product Name","उत्पादन नाम"
"Incl. Tax","कर सहित"
"Your order number is: %1.","तपाईंको अर्डर नम्बर: %1"
"Your order # is: <span>%1</span>.","तपाईंको अर्डर नम्बर: <span>%1</span>"
"Ship Here","यहाँ पठाउनुहोस्"
"Select Method","विधि चयन गर्नुहोस्"
"Method Title","विधिको शीर्षक"
"Carrier Title","ढुवानीकर्ता शीर्षक"
"Ship To:","यसमा पठाउनुहोस्:"
"Shipping Address","ढुवानी ठेगाना"
"New Address","नयाँ ठेगाना"
